Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
16	1	CONT_089|gi|71536|pir||KRHU2	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	30.0	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	53	0	0.000	11	13	16	13	0	0	0	0	1.000	1.000	0.500	0.500
17	1	CONT_092|gi|71528|pir||KRHU0 (+1)	CONT_092|gi|71528|pir||KRHU0&CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	 	CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	39.1	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	95	83	0.874	18	24	28	25	16	20	25	22	17.323	22.933	26.646	24.323
19	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	6.6	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	5	0	0.000	1	1	1	2	0	0	0	0	0.000	0.000	0.000	0.000
22	1	CONT_156|gi|1363944|pir||JC4313	 	 	CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	13.1	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	17	1	0.059	3	6	5	3	0	1	0	0	0.039	2.046	1.043	0.039
24	1	REV_A2ABU4	 	 	 	reversed	2.5	1439	161776	REVERSED.	3	3	1.000	0	2	0	1	0	2	0	1	0.000	2.000	0.000	1.000
25	1	REV_A2ASS6	 	 	 	reversed	0.2	35213	3906440	REVERSED.	7	7	1.000	2	0	3	2	2	0	3	2	2.000	0.000	3.000	2.000
26	1	REV_B2RW38	 	 	REV_B2RW38, sp|Q8BR92|PALM2_MOUSE	reversed	2.3	873	103522	REVERSED.	4	1	0.250	2	1	0	1	1	0	0	0	1.167	0.000	0.000	0.000
27	1	REV_E9Q414	 	 	 	reversed	0.6	4505	509426	REVERSED.	6	6	1.000	1	2	1	2	1	2	1	2	1.000	2.000	1.000	2.000
28	1	REV_E9Q557	 	 	 	reversed	0.8	2883	332908	REVERSED.	5	5	1.000	1	0	2	2	1	0	2	2	1.000	0.000	2.000	2.000
29	1	REV_O35551	 	 	 	reversed	5.8	862	99523	REVERSED.	6	6	1.000	1	1	1	3	1	1	1	3	1.000	1.000	1.000	3.000
30	1	REV_O88783	 	 	 	reversed	1.1	2183	247227	REVERSED.	3	3	1.000	0	0	3	0	0	0	3	0	0.000	0.000	3.000	0.000
31	1	REV_P11531	 	 	 	reversed	0.4	3678	425827	REVERSED.	3	3	1.000	1	0	2	0	1	0	2	0	1.000	0.000	2.000	0.000
32	1	REV_P39053	 	 	 	reversed	2.0	867	97802	REVERSED.	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
33	1	REV_P40201	 	 	 	reversed	1.0	1711	196382	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
34	1	REV_P45481	 	 	 	reversed	0.8	2441	265491	REVERSED.	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
35	1	REV_P49025	 	 	REV_P49025, sp|Q9Z2I0|LETM1_MOUSE	reversed	0.9	2055	235387	REVERSED.	6	2	0.333	1	1	2	2	0	0	1	1	0.000	0.000	1.036	1.034
36	1	REV_Q05860	 	 	REV_Q05860, sp|Q3ULJ0|GPD1L_MOUSE	reversed	1.2	1466	163579	REVERSED.	6	1	0.167	2	2	1	1	0	1	0	0	0.000	1.067	0.000	0.000
37	1	REV_Q2KHK6	 	 	 	reversed	9.0	480	53951	REVERSED.	3	3	1.000	0	1	2	0	0	1	2	0	0.000	1.000	2.000	0.000
38	1	REV_Q3U487	 	 	 	reversed	2.7	861	97346	REVERSED.	5	5	1.000	1	1	1	2	1	1	1	2	1.000	1.000	1.000	2.000
39	1	REV_Q3UKU1	 	 	 	reversed	3.0	639	72124	REVERSED.	5	5	1.000	2	0	1	2	2	0	1	2	2.000	0.000	1.000	2.000
40	1	REV_Q4FZC9	 	 	 	reversed	2.7	975	112034	REVERSED.	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
41	1	REV_Q56A04	 	 	 	reversed	4.0	373	41082	REVERSED.	4	4	1.000	1	1	2	0	1	1	2	0	1.000	1.000	2.000	0.000
42	1	REV_Q5H8C4	 	 	 	reversed	0.8	3166	359396	REVERSED.	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
43	1	REV_Q5PR68	 	 	 	reversed	2.7	954	112674	REVERSED.	4	4	1.000	1	2	1	0	1	2	1	0	1.000	2.000	1.000	0.000
44	1	REV_Q5SSE9	 	 	 	reversed	0.4	5034	568891	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
45	1	REV_Q5SSF7	 	 	 	reversed	2.0	391	44796	REVERSED.	9	9	1.000	1	2	1	5	1	2	1	5	1.000	2.000	1.000	5.000
46	1	REV_Q61663	 	 	 	reversed	8.8	284	30360	REVERSED.	4	4	1.000	2	0	1	1	2	0	1	1	2.000	0.000	1.000	1.000
47	1	REV_Q61687	 	 	REV_Q61687, sp|Q9CQW1|YKT6_MOUSE	reversed	0.7	2476	278584	REVERSED.	7	1	0.143	2	1	3	1	1	0	0	0	1.143	0.000	0.000	0.000
48	1	REV_Q61733	 	 	 	reversed	7.6	384	43880	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
49	1	REV_Q6A078	 	 	REV_Q6A078, sp|P38647|GRP75_MOUSE	reversed	1.2	2472	289074	REVERSED.	16	11	0.688	6	3	5	2	4	2	4	1	4.087	2.027	4.048	1.013
50	1	REV_Q6P4S6	 	 	 	reversed	2.4	1311	145782	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
51	1	REV_Q6P5H2	 	 	 	reversed	1.5	1864	207122	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
52	1	REV_Q6PDI5	 	 	 	reversed	1.2	1840	203701	REVERSED.	6	6	1.000	2	3	1	0	2	3	1	0	2.000	3.000	1.000	0.000
53	1	REV_Q6URW6	 	 	 	reversed	2.8	2000	228583	REVERSED.	3	2	0.667	0	0	1	2	0	0	1	1	0.000	0.000	1.000	2.000
54	1	REV_Q6VGS5	 	 	 	reversed	1.9	2009	226532	REVERSED.	7	7	1.000	1	1	2	3	1	1	2	3	1.000	1.000	2.000	3.000
55	1	REV_Q6VNB8	 	 	 	reversed	0.7	3508	392333	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
56	1	REV_Q70FJ1	 	 	 	reversed	1.1	3797	435986	REVERSED.	4	4	1.000	2	2	0	0	2	2	0	0	2.000	2.000	0.000	0.000
57	1	REV_Q7TMI3	 	 	 	reversed	3.2	803	90105	REVERSED.	4	4	1.000	0	1	2	1	0	1	2	1	0.000	1.000	2.000	1.000
58	1	REV_Q810S2	 	 	 	reversed	14.3	196	22381	REVERSED.	6	6	1.000	0	3	2	1	0	3	2	1	0.000	3.000	2.000	1.000
59	1	REV_Q8BH57	 	 	 	reversed	4.1	676	76006	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
60	1	REV_Q8BYY4	 	 	 	reversed	3.7	617	70292	REVERSED.	5	5	1.000	1	1	2	1	1	1	2	1	1.000	1.000	2.000	1.000
61	1	REV_Q8C863	 	 	 	reversed	4.5	864	98992	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
62	1	REV_Q8CGM2	 	 	 	reversed	2.1	1859	199683	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
63	1	REV_Q8CJ40	 	 	REV_Q8CJ40, sp|P08032|SPTA1_MOUSE	reversed	0.9	2009	226942	REVERSED.	7	3	0.429	2	2	2	1	1	1	1	0	1.016	1.013	1.012	0.000
64	1	REV_Q8K3J1	 	 	 	reversed	9.9	212	24038	REVERSED.	3	3	1.000	0	1	2	0	0	1	2	0	0.000	1.000	2.000	0.000
65	1	REV_Q8R1S4	 	 	 	reversed	4.5	759	82407	REVERSED.	3	3	1.000	0	1	2	0	0	1	2	0	0.000	1.000	2.000	0.000
66	1	REV_Q8VBT6	 	 	 	reversed	3.5	942	102704	REVERSED.	5	5	1.000	2	2	1	0	2	2	1	0	2.000	2.000	1.000	0.000
67	1	REV_Q8VD65	 	 	REV_Q8VD65, sp|P42225|STAT1_MOUSE	reversed	1.5	1358	152597	REVERSED.	11	7	0.636	1	4	3	3	0	3	2	2	0.000	3.111	2.077	2.083
68	1	REV_Q8VDP4	 	 	 	reversed	5.1	922	103001	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
69	1	REV_Q91XQ0	 	 	 	reversed	0.7	4731	541232	REVERSED.	7	7	1.000	2	1	1	3	2	1	1	3	2.000	1.000	1.000	3.000
70	1	REV_Q91ZI0	 	 	 	reversed	1.0	3301	358474	REVERSED.	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
71	1	REV_Q91ZU6	 	 	REV_Q91ZU6, sp|P42227|STAT3_MOUSE	reversed	0.2	7393	834208	REVERSED.	5	1	0.200	1	1	1	2	0	0	0	1	0.000	0.000	0.000	1.071
72	1	REV_Q921U8	 	 	 	reversed	2.7	923	100288	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
73	1	REV_Q99104	 	 	 	reversed	0.7	1853	215536	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
74	1	REV_Q9DBB4	 	 	 	reversed	2.5	864	101283	REVERSED.	3	3	1.000	2	0	0	1	2	0	0	1	2.000	0.000	0.000	1.000
75	1	REV_Q9EPU4	 	 	REV_Q9EPU4, sp|Q6P8J2|SAT2_MOUSE	reversed	2.2	1441	160816	REVERSED.	4	1	0.250	0	2	1	1	0	1	0	0	0.000	1.333	0.000	0.000
76	1	REV_Q9ERU9	 	 	 	reversed	1.6	3053	341117	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
77	1	REV_Q9JHW4	 	 	 	reversed	3.9	583	63538	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
78	1	REV_Q9Z1N2	 	 	 	reversed	2.5	840	95102	REVERSED.	4	4	1.000	1	2	1	0	1	2	1	0	1.000	2.000	1.000	0.000
79	1	sp|A0JNT9|BICL1_MOUSE	 	 	 	 	2.9	577	65286	BICD family-like cargo adapter 1 OS=Mus musculus GN=Bicdl1 PE=1 SV=1	4	4	1.000	2	2	0	0	2	2	0	0	2.000	2.000	0.000	0.000
80	1	sp|A2A432|CUL4B_MOUSE	 	 	sp|A2A432|CUL4B_MOUSE, sp|Q3TCH7|CUL4A_MOUSE	 	9.2	970	110698	Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1	25	6	0.240	6	5	9	5	1	1	3	1	2.000	2.333	5.571	2.333
81	1	sp|A2A5R2|BIG2_MOUSE	 	 	sp|A2A5R2|BIG2_MOUSE, sp|G3X9K3|BIG1_MOUSE	 	3.6	1792	202237	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus GN=Arfgef2 PE=1 SV=1	19	13	0.684	4	6	4	5	3	4	2	4	4.000	5.333	3.333	4.667
82	1	sp|A2A863|ITB4_MOUSE	 	 	 	 	1.5	1818	201648	Integrin beta-4 OS=Mus musculus GN=Itgb4 PE=1 SV=1	6	6	1.000	1	2	1	2	1	2	1	2	1.000	2.000	1.000	2.000
83	1	sp|A2A8L5|PTPRF_MOUSE	 	 	 	 	3.2	1898	211487	Receptor-type tyrosine-protein phosphatase F OS=Mus musculus GN=Ptprf PE=1 SV=1	4	4	1.000	0	2	1	1	0	2	1	1	0.000	2.000	1.000	1.000
84	1	sp|A2A8Z1|OSBL9_MOUSE	 	 	 	 	8.6	736	83108	Oxysterol-binding protein-related protein 9 OS=Mus musculus GN=Osbpl9 PE=1 SV=1	17	17	1.000	4	4	3	6	4	4	3	6	4.000	4.000	3.000	6.000
85	1	sp|A2AB59|RHG27_MOUSE	 	 	 	 	4.6	869	97047	Rho GTPase-activating protein 27 OS=Mus musculus GN=Arhgap27 PE=1 SV=1	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
86	1	sp|A2ADY9|DDI2_MOUSE	 	 	 	 	23.6	399	44590	Protein DDI1 homolog 2 OS=Mus musculus GN=Ddi2 PE=1 SV=1	34	34	1.000	7	8	10	9	7	8	10	9	7.000	8.000	10.000	9.000
87	1	sp|A2AF47|DOC11_MOUSE	 	 	sp|A2AF47|DOC11_MOUSE, sp|Q8BIK4|DOCK9_MOUSE	 	4.7	2073	237769	Dedicator of cytokinesis protein 11 OS=Mus musculus GN=Dock11 PE=1 SV=1	17	13	0.765	3	2	6	6	2	2	4	5	2.143	2.000	4.571	5.417
88	1	sp|A2AGT5|CKAP5_MOUSE	 	 	 	 	4.4	2032	225632	Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=1 SV=1	16	16	1.000	4	3	5	4	4	3	5	4	4.000	3.000	5.000	4.000
89	1	sp|A2AIG8|1A1L1_MOUSE	 	 	 	 	11.4	502	56878	1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus GN=Accs PE=2 SV=1	9	9	1.000	4	3	1	1	4	3	1	1	4.000	3.000	1.000	1.000
90	1	sp|A2AJB7|LCN5_MOUSE	 	 	 	 	47.9	192	21013	Epididymal-specific lipocalin-5 OS=Mus musculus GN=Lcn5 PE=1 SV=1	61	61	1.000	9	21	17	14	9	21	17	14	9.000	21.000	17.000	14.000
91	1	sp|A2AJI0|MA7D1_MOUSE	 	 	 	 	11.8	846	93275	MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1 PE=1 SV=1	18	18	1.000	4	5	5	4	4	5	5	4	4.000	5.000	5.000	4.000
92	1	sp|A2AJL3|FGGY_MOUSE	 	 	 	 	20.7	552	60336	FGGY carbohydrate kinase domain-containing protein OS=Mus musculus GN=Fggy PE=1 SV=1	30	30	1.000	9	5	9	7	9	5	9	7	9.000	5.000	9.000	7.000
93	1	sp|A2AN08|UBR4_MOUSE	 	 	 	 	8.7	5180	572283	E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1	79	79	1.000	18	20	17	24	18	20	17	24	18.000	20.000	17.000	24.000
94	1	sp|A2APT9|KLD7A_MOUSE	 	 	 	 	20.3	773	83589	Kelch domain-containing protein 7A OS=Mus musculus GN=Klhdc7a PE=1 SV=3	33	33	1.000	7	6	11	9	7	6	11	9	7.000	6.000	11.000	9.000
95	1	sp|A2AQ07|TBB1_MOUSE	 	 	sp|A2AQ07|TBB1_MOUSE, sp|P68372|TBB4B_MOUSE, sp|P99024|TBB5_MOUSE, sp|Q7TMM9|TBB2A_MOUSE, sp|Q922F4|TBB6_MOUSE, sp|Q9CWF2|TBB2B_MOUSE, sp|Q9ERD7|TBB3_MOUSE	 	21.1	451	50440	Tubulin beta-1 chain OS=Mus musculus GN=Tubb1 PE=1 SV=1	63	11	0.175	13	17	18	15	2	3	4	2	2.647	3.824	4.824	2.765
96	1	sp|A2ARP1|VIP1_MOUSE	 	 	sp|A2ARP1|VIP1_MOUSE, sp|Q6ZQB6|VIP2_MOUSE	 	3.4	1436	159921	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 OS=Mus musculus GN=Ppip5k1 PE=1 SV=1	8	4	0.500	1	2	3	2	0	1	2	1	0.000	1.500	3.000	1.500
97	1	sp|A2ARV4|LRP2_MOUSE	 	 	 	 	3.7	4660	519203	Low-density lipoprotein receptor-related protein 2 OS=Mus musculus GN=Lrp2 PE=1 SV=1	29	29	1.000	6	15	3	5	6	15	3	5	6.000	15.000	3.000	5.000
98	1	sp|A2ASQ1|AGRIN_MOUSE	 	 	 	 	11.2	1950	207537	Agrin OS=Mus musculus GN=Agrn PE=1 SV=1	21	21	1.000	3	4	9	5	3	4	9	5	3.000	4.000	9.000	5.000
99	1	sp|A2ASS6|TITIN_MOUSE	 	 	 	 	0.3	35213	3906440	Titin OS=Mus musculus GN=Ttn PE=1 SV=1	7	7	1.000	1	2	2	2	1	2	2	2	1.000	2.000	2.000	2.000
100	1	sp|A2ATU0|DHTK1_MOUSE	 	 	sp|A2ATU0|DHTK1_MOUSE, sp|Q9CX00|IST1_MOUSE	 	25.0	921	102792	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial OS=Mus musculus GN=Dhtkd1 PE=1 SV=1	40	39	0.975	11	13	10	6	11	12	10	6	11.000	12.667	10.000	6.000
101	1	sp|A2AVA0|SVEP1_MOUSE	 	 	 	 	0.9	3567	387454	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Mus musculus GN=Svep1 PE=1 SV=1	4	4	1.000	2	0	1	1	2	0	1	1	2.000	0.000	1.000	1.000
102	1	sp|A2AWA9|RBGP1_MOUSE	 	 	 	 	5.5	1064	120796	Rab GTPase-activating protein 1 OS=Mus musculus GN=Rabgap1 PE=1 SV=1	9	9	1.000	3	1	2	3	3	1	2	3	3.000	1.000	2.000	3.000
103	1	sp|A2AX52|CO6A4_MOUSE	 	 	 	 	0.7	2309	250795	Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2	4	4	1.000	1	2	0	1	1	2	0	1	1.000	2.000	0.000	1.000
104	1	sp|A2BDX3|MOCS3_MOUSE	 	 	 	 	11.7	460	49374	Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus GN=Mocs3 PE=1 SV=1	14	14	1.000	2	2	5	5	2	2	5	5	2.000	2.000	5.000	5.000
106	1	sp|A2RSJ4|UH1BL_MOUSE	 	 	 	 	5.8	1457	161938	UHRF1-binding protein 1-like OS=Mus musculus GN=Uhrf1bp1l PE=1 SV=2	9	9	1.000	2	4	1	2	2	4	1	2	2.000	4.000	1.000	2.000
107	1	sp|A2RSX7|TYW5_MOUSE	 	 	 	 	14.3	315	36632	tRNA wybutosine-synthesizing protein 5 OS=Mus musculus GN=Tyw5 PE=2 SV=2	10	10	1.000	3	2	2	3	3	2	2	3	3.000	2.000	2.000	3.000
108	1	sp|A3KGB4|TBC8B_MOUSE	 	 	sp|A3KGB4|TBC8B_MOUSE, sp|O08585|CLCA_MOUSE	 	5.8	1114	127891	TBC1 domain family member 8B OS=Mus musculus GN=Tbc1d8b PE=1 SV=1	13	10	0.769	4	0	5	4	3	0	4	3	3.375	0.000	4.333	3.250
